billing_document,billing_document_type,creation_date,creation_time,last_change_date_time,billing_document_date,billing_document_is_cancelled,cancelled_billing_document,total_net_amount,transaction_currency,company_code,fiscal_year,accounting_document,sold_to_party
90504290,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:29.375000+00:00,2025-04-02 00:00:00+00:00,True,,216.1,INR,ABCD,2025,9400000291,320000083
90504289,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:29.465000+00:00,2025-04-02 00:00:00+00:00,True,,216.1,INR,ABCD,2025,9400000290,320000083
90504288,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:29.551000+00:00,2025-04-02 00:00:00+00:00,True,,205.93,INR,ABCD,2025,9400000289,320000083
90504286,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:29.638000+00:00,2025-04-02 00:00:00+00:00,True,,464.41,INR,ABCD,2025,9400000287,320000083
90504285,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:29.729000+00:00,2025-04-02 00:00:00+00:00,True,,464.41,INR,ABCD,2025,9400000286,320000083
90504284,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:29.817000+00:00,2025-04-02 00:00:00+00:00,True,,464.41,INR,ABCD,2025,9400000285,320000083
90504283,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:29.907000+00:00,2025-04-02 00:00:00+00:00,True,,464.41,INR,ABCD,2025,9400000284,320000083
90504280,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:30.085000+00:00,2025-04-02 00:00:00+00:00,True,,215.25,INR,ABCD,2025,9400000281,320000083
90504276,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:30.392000+00:00,2025-04-02 00:00:00+00:00,True,,215.25,INR,ABCD,2025,9400000277,320000083
90504273,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:30.574000+00:00,2025-04-02 00:00:00+00:00,True,,422.03,INR,ABCD,2025,9400000274,320000083
90504272,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:30.662000+00:00,2025-04-02 00:00:00+00:00,True,,422.03,INR,ABCD,2025,9400000272,320000083
90504270,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:30.752000+00:00,2025-04-02 00:00:00+00:00,True,,455.93,INR,ABCD,2025,9400000271,320000083
90504269,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:30.844000+00:00,2025-04-02 00:00:00+00:00,True,,191.53,INR,ABCD,2025,9400000270,320000083
90504246,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:32.352000+00:00,2025-04-02 00:00:00+00:00,True,,221.19,INR,ABCD,2025,9400000247,320000083
90504245,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:32.442000+00:00,2025-04-02 00:00:00+00:00,True,,329.66,INR,ABCD,2025,9400000246,320000083
90504238,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:33.011000+00:00,2025-04-02 00:00:00+00:00,True,,287.29,INR,ABCD,2025,9400000239,320000083
90504234,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:33.288000+00:00,2025-04-02 00:00:00+00:00,True,,215.25,INR,ABCD,2025,9400000235,320000083
90504232,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:33.379000+00:00,2025-04-02 00:00:00+00:00,True,,179.66,INR,ABCD,2025,9400000233,320000083
90504231,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:33.475000+00:00,2025-04-02 00:00:00+00:00,True,,216.1,INR,ABCD,2025,9400000232,320000083
90504227,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:33.768000+00:00,2025-04-02 00:00:00+00:00,True,,185.59,INR,ABCD,2025,9400000228,320000083
90504226,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:33.857000+00:00,2025-04-02 00:00:00+00:00,True,,215.25,INR,ABCD,2025,9400000227,320000083
90504223,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:34.037000+00:00,2025-04-02 00:00:00+00:00,True,,363.56,INR,ABCD,2025,9400000224,320000083
90504222,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:34.133000+00:00,2025-04-02 00:00:00+00:00,True,,329.66,INR,ABCD,2025,9400000223,320000083
90504221,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:34.223000+00:00,2025-04-02 00:00:00+00:00,True,,363.56,INR,ABCD,2025,9400000222,320000083
90504218,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:34.417000+00:00,2025-04-02 00:00:00+00:00,True,,329.66,INR,ABCD,2025,9400000219,320000083
90504217,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:34.514000+00:00,2025-04-02 00:00:00+00:00,True,,363.56,INR,ABCD,2025,9400000218,320000083
90504215,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:34.608000+00:00,2025-04-02 00:00:00+00:00,True,,363.56,INR,ABCD,2025,9400000216,320000083
90504212,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:34.807000+00:00,2025-04-02 00:00:00+00:00,True,,363.56,INR,ABCD,2025,9400000213,320000083
90504211,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:34.897000+00:00,2025-04-02 00:00:00+00:00,True,,363.56,INR,ABCD,2025,9400000212,320000083
90504210,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:34.987000+00:00,2025-04-02 00:00:00+00:00,True,,363.56,INR,ABCD,2025,9400000211,320000083
90504208,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:35.075000+00:00,2025-04-02 00:00:00+00:00,True,,249.15,INR,ABCD,2025,9400000209,320000083
90504207,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:35.172000+00:00,2025-04-02 00:00:00+00:00,True,,250.0,INR,ABCD,2025,9400000208,320000083
90504206,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:35.271000+00:00,2025-04-02 00:00:00+00:00,True,,221.19,INR,ABCD,2025,9400000206,320000083
90504204,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:35.364000+00:00,2025-04-02 00:00:00+00:00,True,,229.66,INR,ABCD,2025,9400000205,320000083
90504301,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:28.635000+00:00,2025-04-02 00:00:00+00:00,True,,1091.53,INR,ABCD,2025,9400000302,320000083
90504296,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:29.017000+00:00,2025-04-02 00:00:00+00:00,True,,634.75,INR,ABCD,2025,9400000297,320000083
90504281,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:29.996000+00:00,2025-04-02 00:00:00+00:00,True,,473.73,INR,ABCD,2025,9400000282,320000083
90504279,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:30.190000+00:00,2025-04-02 00:00:00+00:00,True,,327.97,INR,ABCD,2025,9400000280,320000083
90504277,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:30.295000+00:00,2025-04-02 00:00:00+00:00,True,,842.93,INR,ABCD,2025,9400000278,320000083
90504249,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:32.265000+00:00,2025-04-02 00:00:00+00:00,True,,561.14,INR,ABCD,2025,9400000250,320000083
90504243,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:32.641000+00:00,2025-04-02 00:00:00+00:00,True,,2033.65,INR,ABCD,2025,9400000244,320000083
90504241,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:32.831000+00:00,2025-04-02 00:00:00+00:00,True,,180.34,INR,ABCD,2025,9400000241,320000083
90504228,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:33.674000+00:00,2025-04-02 00:00:00+00:00,True,,449.24,INR,ABCD,2025,9400000229,320000083
91150083,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-05-16 00:00:00+00:00,False,90678703,589.95,INR,ABCD,2025,9400635854,320000082
91150084,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-05-16 00:00:00+00:00,False,90678702,299.0,INR,ABCD,2025,9400635855,320000082
91150085,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-05-16 00:00:00+00:00,False,90678701,254.0,INR,ABCD,2025,9400635856,320000082
91150086,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-05-16 00:00:00+00:00,False,90678700,245.9,INR,ABCD,2025,9400635857,320000082
91150087,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-05-16 00:00:00+00:00,False,90678699,179.0,INR,ABCD,2025,9400635858,320000082
91150088,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-05-16 00:00:00+00:00,False,90678698,382.9,INR,ABCD,2025,9400635859,320000082
91150090,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-05-16 00:00:00+00:00,False,90678696,167.0,INR,ABCD,2025,9400635861,320000082
91150147,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504301,1091.53,INR,ABCD,2025,9400635918,320000083
91150148,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504300,464.41,INR,ABCD,2025,9400635919,320000083
91150149,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504298,533.05,INR,ABCD,2025,9400635920,320000083
91150150,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504297,215.25,INR,ABCD,2025,9400635921,320000083
91150151,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504296,634.75,INR,ABCD,2025,9400635922,320000083
91150152,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504295,464.41,INR,ABCD,2025,9400635923,320000083
91150153,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504293,464.41,INR,ABCD,2025,9400635924,320000083
91150154,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504292,422.03,INR,ABCD,2025,9400635925,320000083
91150155,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504290,216.1,INR,ABCD,2025,9400635926,320000083
91150156,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504289,216.1,INR,ABCD,2025,9400635927,320000083
91150157,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504288,205.93,INR,ABCD,2025,9400635928,320000083
91150158,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504286,464.41,INR,ABCD,2025,9400635929,320000083
91150159,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504285,464.41,INR,ABCD,2025,9400635930,320000083
91150160,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504284,464.41,INR,ABCD,2025,9400635931,320000083
91150161,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504283,464.41,INR,ABCD,2025,9400635932,320000083
91150162,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504281,473.73,INR,ABCD,2025,9400635933,320000083
91150163,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504280,215.25,INR,ABCD,2025,9400635934,320000083
91150164,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504279,327.97,INR,ABCD,2025,9400635935,320000083
91150165,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504277,842.93,INR,ABCD,2025,9400635936,320000083
91150166,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504276,215.25,INR,ABCD,2025,9400635937,320000083
91150167,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504274,253.39,INR,ABCD,2025,9400635938,320000083
91150168,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504273,422.03,INR,ABCD,2025,9400635939,320000083
91150169,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504272,422.03,INR,ABCD,2025,9400635940,320000083
91150170,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504270,455.93,INR,ABCD,2025,9400635941,320000083
91150171,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504269,191.53,INR,ABCD,2025,9400635942,320000083
91150172,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504267,337.29,INR,ABCD,2025,9400635943,320000083
90504259,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:31.530000+00:00,2025-04-02 00:00:00+00:00,True,,253.39,INR,ABCD,2025,9400000260,320000083
90504250,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:32.167000+00:00,2025-04-02 00:00:00+00:00,True,,422.88,INR,ABCD,2025,9400000251,320000083
90504406,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:24.215000+00:00,2025-04-02 00:00:00+00:00,True,,179.66,INR,ABCD,2025,9400000406,320000088
90504376,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:25.012000+00:00,2025-04-02 00:00:00+00:00,True,,221.19,INR,ABCD,2025,9400000376,320000085
90504266,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:31.025000+00:00,2025-04-02 00:00:00+00:00,True,,422.03,INR,ABCD,2025,9400000267,320000083
90504265,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:31.157000+00:00,2025-04-02 00:00:00+00:00,True,,761.86,INR,ABCD,2025,9400000266,320000083
90504263,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:31.247000+00:00,2025-04-02 00:00:00+00:00,True,,481.44,INR,ABCD,2025,9400000264,320000083
90504260,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:31.439000+00:00,2025-04-02 00:00:00+00:00,True,,422.03,INR,ABCD,2025,9400000261,320000083
90504257,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:31.619000+00:00,2025-04-02 00:00:00+00:00,True,,375.42,INR,ABCD,2025,9400000258,320000083
90504256,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:31.710000+00:00,2025-04-02 00:00:00+00:00,True,,179.66,INR,ABCD,2025,9400000257,320000083
90504255,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:31.837000+00:00,2025-04-02 00:00:00+00:00,True,,439.83,INR,ABCD,2025,9400000256,320000083
90504253,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:31.961000+00:00,2025-04-02 00:00:00+00:00,True,,439.83,INR,ABCD,2025,9400000254,320000083
90504252,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:32.075000+00:00,2025-04-02 00:00:00+00:00,True,,429.66,INR,ABCD,2025,9400000253,320000083
90504214,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:34.715000+00:00,2025-04-02 00:00:00+00:00,True,,272.88,INR,ABCD,2025,9400000215,320000083
90504262,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:31.347000+00:00,2025-04-02 00:00:00+00:00,True,,843.73,INR,ABCD,2025,9400000263,320000083
90504235,F2,2025-04-03 00:00:00+00:00,,2025-07-24 11:42:33.195000+00:00,2025-04-02 00:00:00+00:00,True,,310.76,INR,ABCD,2025,9400000236,320000083
91150106,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504406,179.66,INR,ABCD,2025,9400635877,320000088
91150114,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504376,221.19,INR,ABCD,2025,9400635885,320000085
91150173,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504266,422.03,INR,ABCD,2025,9400635944,320000083
91150174,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504265,761.86,INR,ABCD,2025,9400635945,320000083
91150175,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504263,481.44,INR,ABCD,2025,9400635946,320000083
91150176,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504262,843.73,INR,ABCD,2025,9400635947,320000083
91150177,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504260,422.03,INR,ABCD,2025,9400635948,320000083
91150178,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504259,253.39,INR,ABCD,2025,9400635949,320000083
91150179,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504257,375.42,INR,ABCD,2025,9400635950,320000083
91150180,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504256,179.66,INR,ABCD,2025,9400635951,320000083
91150181,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504255,439.83,INR,ABCD,2025,9400635952,320000083
91150182,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504253,439.83,INR,ABCD,2025,9400635953,320000083
91150183,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504252,429.66,INR,ABCD,2025,9400635954,320000083
91150184,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504250,422.88,INR,ABCD,2025,9400635955,320000083
91150185,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504249,561.14,INR,ABCD,2025,9400635956,320000083
91150186,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504246,221.19,INR,ABCD,2025,9400635957,320000083
91150187,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504245,329.66,INR,ABCD,2025,9400635958,320000083
91150188,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504243,2033.65,INR,ABCD,2025,9400635959,320000083
91150189,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504242,151.69,INR,ABCD,2025,9400635960,320000083
91150190,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504241,180.34,INR,ABCD,2025,9400635961,320000083
91150191,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504239,253.39,INR,ABCD,2025,9400635962,320000083
91150192,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504238,287.29,INR,ABCD,2025,9400635963,320000083
91150193,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504237,168.64,INR,ABCD,2025,9400635964,320000083
91150194,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504235,310.76,INR,ABCD,2025,9400635965,320000083
91150195,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504234,215.25,INR,ABCD,2025,9400635966,320000083
91150196,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504232,179.66,INR,ABCD,2025,9400635967,320000083
91150197,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504231,216.1,INR,ABCD,2025,9400635968,320000083
91150198,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504230,253.39,INR,ABCD,2025,9400635969,320000083
91150199,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504228,449.24,INR,ABCD,2025,9400635970,320000083
91150200,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504227,185.59,INR,ABCD,2025,9400635971,320000083
91150201,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504226,215.25,INR,ABCD,2025,9400635972,320000083
91150202,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504225,253.39,INR,ABCD,2025,9400635973,320000083
91150203,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504223,363.56,INR,ABCD,2025,9400635974,320000083
91150204,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504222,329.66,INR,ABCD,2025,9400635975,320000083
91150205,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504221,363.56,INR,ABCD,2025,9400635976,320000083
91150206,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504219,253.39,INR,ABCD,2025,9400635977,320000083
91150207,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504218,329.66,INR,ABCD,2025,9400635978,320000083
91150208,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504217,363.56,INR,ABCD,2025,9400635979,320000083
91150209,S1,2025-07-24 00:00:00+00:00,,2025-07-24 11:42:07+00:00,2025-04-02 00:00:00+00:00,False,90504215,363.56,INR,ABCD,2025,9400635980,320000083
